Make,Model,Year,Energy,freezer,cooler,roomtemperature,Name,ClassName,ColdLifetime,AlarmDays,SnoozeDays,Notes
mothernature,outdoors,U,U,0,0,1000000000,OUTDOORS,Fridge,,,,
Proxy,proxy,1999,u,0,50,0,M_STB_Proxy,Fridge,,,,
BP Solar,wbq308mx,2005,S,0,18,0,M_WBQ308MX_2005_S,Fridge,,,,
Dometic,RCW50AC,2000,G,0,24,0,M_RCW50AC_2000_G,Fridge,,,,
Dometic,RCW50AC,2002,G,0,24,0,M_RCW50AC_2002_G,Fridge,,,,
Dometic,RCW50AC,2005,E,0,24,0,M_RCW50AC_2005_E,ElectricFridge,,,,
Dometic,RCW50AC,2005,G,0,24,0,M_RCW50AC_2005_G,Fridge,,,,
Dometic,RCW50AC,2006,G,0,24,0,M_RCW50AC_2006_G,Fridge,,,,
Dometic,RCW50AC,2007,G,0,24,0,M_RCW50AC_2007_G,Fridge,,,,
Dometic,RCW50AC,2008,E,0,24,0,M_RCW50AC_2008_E,ElectricFridge,,,,
Dometic,RCW50AC,2008,G,0,24,0,M_RCW50AC_2008_G,Fridge,,,,
Dometic,RCW50AC,2009,E,0,24,0,M_RCW50AC_2009_E,ElectricFridge,,,,
Dometic,RCW50AC,2009,G,0,24,0,M_RCW50AC_2009_G,Fridge,,,,
Dometic,RCW50AC,2010,E,0,24,0,M_RCW50AC_2010_E,ElectricFridge,,,,
Dometic,RCW50AC,2010,G,0,24,0,M_RCW50AC_2010_G,Fridge,,,,
Dometic,RCW50AC,2011,E,0,24,0,M_RCW50AC_2011_E,ElectricFridge,,,,
Dometic,RCW50AC,2011,G,0,24,0,M_RCW50AC_2011_G,Fridge,,,,
Dometic,RCW50AC,2012,G,0,24,0,M_RCW50AC_2012_G,Fridge,,,,
Dometic,RCW50DC,2004,G,0,24,0,M_RCW50DC_2004_G,Fridge,,,,
Dometic,RCW50DC,2007,E,0,24,0,M_RCW50DC_2007_E,ElectricFridge,,,,
Dometic,RCW50DC,2007,G,0,24,0,M_RCW50DC_2007_G,Fridge,,,,
Dometic,RCW50DC,2008,G,0,24,0,M_RCW50DC_2008_G,Fridge,,,,
Dometic,RCW50DC,2009,E,0,24,0,M_RCW50DC_2009_E,ElectricFridge,,,,
Dometic,RCW50DC,2010,G,0,24,0,M_RCW50DC_2010_G,Fridge,,,,
Dometic,RCW50DC,2010,E,0,24,0,M_RCW50DC_2010_E,ElectricFridge,,,,
Dometic,RCW50DC,2011,G,0,24,0,M_RCW50DC_2011_G,Fridge,,,,
Dometic,RCW50DC,2012,E,0,24,0,M_RCW50DC_2012_E,ElectricFridge,,,,
Dometic,RCW50DC/CF,2006,S,0,24,0,M_RCW50DCCF_2006_S,Fridge,,,,
Dometic,RCW50DC/CF,2008,S,0,24,0,M_RCW50DCCF_2008_S,Fridge,,,,
Dometic,RCW50DC/CF,2009,S,0,24,0,M_RCW50DCCF_2009_S,Fridge,,,,
Dometic,RCW50DC/CF,2010,S,0,24,0,M_RCW50DCCF_2010_S,Fridge,,,,
Dometic,RCW50DC/CF,2011,S,0,24,0,M_RCW50DCCF_2011_S,Fridge,,,,
Dometic,RCW50EG,2004,S,0,24,0,M_RCW50EG_2004_S,Fridge,,,,
Dometic,RCW50EG,2005,S,0,24,0,M_RCW50EG_2005_S,Fridge,,,,
Dometic,RCW50EG,2006,S,0,24,0,M_RCW50EG_2006_S,Fridge,,,,
Dometic,RCW50EG,2007,S,0,24,0,M_RCW50EG_2007_S,Fridge,,,,
Dometic,RCW50EG,2008,S,0,24,0,M_RCW50EG_2008_S,Fridge,,,,
Dometic,RCW50EG,2009,S,0,24,0,M_RCW50EG_2009_S,Fridge,,,,
Dometic,RCW50EG,2010,S,0,24,0,M_RCW50EG_2010_S,Fridge,,,,
Dometic,RCW50EG,2011,S,0,24,0,M_RCW50EG_2011_S,Fridge,,,,
Dometic,RCW50EG,2012,S,0,24,0,M_RCW50EG_2012_S,Fridge,,,,
Dometic,RCW50EG/CF,2008,E,0,24,0,M_RCW50EGCF_2008_E,ElectricFridge,,,,
Dometic,RCW50EG/CF,2009,E,0,24,0,M_RCW50EGCF_2009_E,ElectricFridge,,,,
Dometic,RCW50EK,2006,G,0,24,0,M_RCW50EK_2006_G,Fridge,,,,
Dometic,RCW50EK,2008,E,0,24,0,M_RCW50EK_2008_E,ElectricFridge,,,,
Dometic,RCW50EK,2008,G,0,24,0,M_RCW50EK_2008_G,Fridge,,,,
Dometic,RCW50EK,2009,G,0,24,0,M_RCW50EK_2009_G,Fridge,,,,
Dometic,RCW50EK,2010,G,0,24,0,M_RCW50EK_2010_G,Fridge,,,,
Dometic,RCW59EG,2005,G,0,24,0,M_RCW50EG_2005_G,Fridge,,,,
Dometic,TCW3000,2005,E,0,126.5,0,M_TCW3000_2005_E,ElectricFridge,,,,
Dometic,TCW3000,2009,E,0,126.5,0,M_TCW3000_2009_E,ElectricFridge,,,,
Dometic,TCW3000,2010,E,0,126.5,0,M_TCW3000_2010_E,ElectricFridge,,,,
Dometic,TCW3000,2011,E,0,126.5,0,M_TCW3000_2011_E,ElectricFridge,,,,
Dometic,TCW3000,2011,G,0,126.5,0,M_TCW3000_2011_G,Fridge,,,,
Dometic,TCW3000,2012,E,0,126.5,0,M_TCW3000_2012_E,ElectricFridge,,,,
Electrolux,Rcw42EG/CF,2003,E,0,11,0,M_RCW42EGCF_2003_E,ElectricFridge,,,,
Electrolux,Rcw42EG/CF,2011,E,0,11,0,M_RCW42EGCF_2011_E,ElectricFridge,,,,
Electrolux,RCW42EK,2004,E,0,11,0,M_RCW42EK_2004_E,ElectricFridge,,,,
Electrolux,RCW42EK,2004,G,0,11,0,M_RCW42EK_2004_G,Fridge,,,,
Electrolux,RCW42EK,2005,E,0,11,0,M_RCW42EK_2005_E,ElectricFridge,,,,
Electrolux,RCW42EK/CF,1992,G,0,18,0,M_RCW42EKCF_1992_G,Fridge,,,,
Electrolux,RCW42EK/CF,1996,G,0,18,0,M_RCW42EKCF_1996_G,Fridge,,,,
Electrolux,RCW42EK/CF,1998,G,0,18,0,M_RCW42EKCF_1998_G,Fridge,,,,
Electrolux,RCW42EK/CF,2000,G,0,18,0,M_RCW42EKCF_2000_G,Fridge,,,,
Electrolux,RCW42EK/CF,2001,G,0,18,0,M_RCW42EKCF_2001_G,Fridge,,,,
Electrolux,RCW42EK/CF,2002,G,0,18,0,M_RCW42EKCF_2002_G,Fridge,,,,
Electrolux,RCW42EK/CF,2003,G,0,18,0,M_RCW42EKCF_2003_G,Fridge,,,,
Electrolux,RCW42EK/CF,2004,G,0,18,0,M_RCW42EKCF_2004_G,Fridge,,,,
Electrolux,RCW42EK/CF,2005,E,0,18,0,M_RCW42EKCF_2005_E,ElectricFridge,,,,
Electrolux,RCW42EK/CF,2005,G,0,18,0,M_RCW42EKCF_2005_G,Fridge,,,,
Electrolux,RCW42EK/CF,2006,G,0,18,0,M_RCW42EKCF_2006_G,Fridge,,,,
Electrolux,RCW42EK/CF,2007,G,0,18,0,M_RCW42EKCF_2007_G,Fridge,,,,
Electrolux,RCW42EK/CF,2007,E,0,18,0,M_RCW42EKCF_2007_E,ElectricFridge,,,,
Electrolux,RCW42EK/CF,2008,E,0,18,0,M_RCW42EKCF_2008_E,ElectricFridge,,,,
Electrolux,RCW42EK/CF,2008,G,0,18,0,M_RCW42EKCF_2008_G,Fridge,,,,
Electrolux,RCW42EK/CF,2009,E,0,18,0,M_RCW42EKCF_2009_E,ElectricFridge,,,,
Electrolux,RCW42EK/CF,2009,G,0,18,0,M_RCW42EKCF_2009_G,Fridge,,,,
Electrolux,RCW42EK/CF,2009,G,0,18,0,M_RCW42EKCF_2010_G,Fridge,,,,
Electrolux,RCW42EK/CF,2010,E,0,18,0,M_RCW42EKCF_2010_E,ElectricFridge,,,,
Electrolux,RCW42EK/CF,2011,G,0,18,0,M_RCW42EKCF_2011_G,Fridge,,,,
Electrolux,RCW42EK/CF,2011,E,0,18,0,M_RCW42EKCF_2011_E,ElectricFridge,,,,
Electrolux,Rcw50DC,2009,G,0,24,0,M_RCW50DC_2009_G,Fridge,,,,
Electrolux,Rcw50DC,2010,E,0,24,0,M_RCW50DC_2010_E,ElectricFridge,,,,
Electrolux,Rcw50DC,2010,G,0,24,0,M_RCW50DC_2010_G,Fridge,,,,
Electrolux,Rcw50DC,2011,G,0,24,0,M_RCW50DC_2011_G,Fridge,,,,
Electrolux,Rcw50EG,2002,S,0,24,0,M_RCW50EG_2002_S,Fridge,,,,
Electrolux,Rcw50EG,2003,S,0,24,0,M_RCW50EG_2003_S,Fridge,,,,
Electrolux,Rcw50EG,U,S,0,24,0,M_RCW50EG_U_S,Fridge,,,,
Electrolux,TCW1152,2000,E,0,169,0,M_TCW1152_2000_E,ElectricFridge,,,,
Electrolux,TCW1990,2010,G,0,38,0,M_TCW1990_2010_G,Fridge,,,,
Electrolux,TCW2000,2010,E,0,38,0,M_TCW2000_2010_E,ElectricFridge,,,,
Minus-40,CF491S,2008,S,15,40,0,M_CF491S_2008_S,Fridge,,,,
Minus-40,CF491S,2009,S,15,40,0,M_CF491S_2009_S,Fridge,,,,
Minus-40,CF491S,2011,S,15,40,0,M_CF491S_2011_S,Fridge,,,,
Minus-40,cgrc 900150,2009,S,15,40,0,M_CGRC900150_2009_S,Fridge,,,,
Norcast,PF 90/70,2004,S,0,16,0,M_PF9070NORCAST_2004_S,Fridge,,,,
Norcast,PF 90/70,2010,S,0,16,0,M_PF9070NORCAST_2010_S,Fridge,,,,
Sibir,V110KE,2011,E,0,17,0,M_V110KE_2011_E,ElectricFridge,,,,
Sunfrost,SB302,2010,S,0,39,0,M_SB302_2010_S,Fridge,,,,
Sunfrost,SGR114,2010,S,0,39,0,M_SGR114_2010_S,Fridge,,,,
Sunfrost,SJ15,2005,S,0,39,0,M_SJ15_2005_S,Fridge,,,,
Vestfrost,MF114,2009,E,72,0,0,M_MF114_2009_E,ElectricFridge,,,,
Vestfrost,MF214,2008,E,192,0,0,M_MF214_2008_E,ElectricFridge,,,,
Vestfrost,MF214SN,2006,E,192,0,0,M_MF214SN_2006_E,ElectricFridge,,,,
Vestfrost,MF304SN,2006,E,187,0,0,M_MF304SN_2006_E,ElectricFridge,,,,
Vestfrost,MK304,2008,E,0,108,0,M_MK304_2008_E,ElectricFridge,,,,
Vestfrost,MK304,2006,E,0,108,0,M_MK304_2006_E,ElectricFridge,,,,
Vestfrost,MKU010,2000,G,0,108,0,M_MKU010_2000_G,Fridge,,,,
Vestfrost,NLR40,2011,G,0,108,0,M_NLR40_2011_G,Fridge,,,,
Vestfrost,TC883,2010,E,393,0,0,M_TC883_2010_E,ElectricFridge,,,,
Vestfrost,TCW 1990,2010,E,182,0,0,M_TCW1990_2010F_E,ElectricFridge,,,,
Vestfrost,TCW 3000,2010,E,182,0,0,M_TCW3000_2010_E,ElectricFridge,,,,
Vestfrost,TCW 3000,2011,E,182,0,0,M_TCW3000_2011_E,ElectricFridge,,,,
Zero,PF90/70,1999,G,0,144,0,M_PF9070_1999_G,Fridge,,,,
Zero,PF90/70,2000,G,0,144,0,M_PF9070_2000_G,Fridge,,,,
Zero,PF90/70,2001,E,0,144,0,M_PF9070_2001_E,ElectricFridge,,,,
Zero,PF90/70,2002,G,0,144,0,M_PF9070_2002_G,Fridge,,,,
Zero,PF90/70,2002,E,0,144,0,M_PF9070_2002_E,ElectricFridge,,,,
Zero,PF90/70,2005,E,0,144,0,M_PF9070_2005_E,ElectricFridge,,,,
Zero,PF90/70,2012,G,0,144,0,M_PF9070_2012_G,Fridge,,,,
WICR 1,WICR 1,U,,0,6892,0,M_National_WICR1,Fridge,,,,
WICR 2,WICR 2,U,,0,6701,0,M_National_WICR2,Fridge,,,,
WICR 3,WICR 3,U,,0,2924,0,M_National_WICR3,Fridge,,,,
WICR 4,WICR 4,U,,0,3023,0,M_National_WICR4,Fridge,,,,
WICR 5,WICR 5,U,,0,7202,0,M_National_WICR5,Fridge,,,,
WIFR 1,WIFR 1,U,,7414,0,0,M_National_WIFR_1,Fridge,,,,
WIFR 2,WIFR 2,U,,7437,0,0,M_National_WIFR_2,Fridge,,,,
Cold Box ,manufacturers box,U,,0,20.7,0,M_CB,ShippableFridge,,,,
Vaccine carrier,Blowkings,U,,0,1.7,0,M_VC,ShippableFridge,,,,
