Name,DisplayName,Shawns display names,Secondary Packaging,Abbreviation,Vaccine presentation,Method  of administration,Doses per vial,Packed vol/dose(cc) of vaccine,Packed vol/dose(cc) of diluent,Vaccine price/vial,Vaccine price/dose,Price Units,Price Year,Doses/person,LifetimeFreezerMonths,LifetimeCoolerMonths,LifetimeRoomTempMonths,LifetimeOpenMonths,RandomKey,Notes,Link,Manufacturer
DTPHepBHib_SerumIndia_Lyo_2Dose,DTP-HepB-Hib SII 2 Dose,DTP-HepB-Hib Lyophilised 2 Dose ,Carton (Containing 200 Vials Of Hib Component And 200 Vials Of Dtpw-Hebb Component),DTP-HepB-Hib,Liquid + Lyophilized,Intramuscular,2,19.6,0,,,USD,,1,0.002,24,0.001,0.01,10063,,http://www.who.int/immunization_standards/vaccine_quality/pq_204_dtp_hepb_hib_2dose_sii/en/index.html,Serum Institute of India
DTPHepBHib_SerumIndia_2Dose,DTP-HepB-Hib SII 2 Dose,DTP-HepB-Hib 2 Dose ,1 Vial,DTP-HepB-Hib,Liquid,Intramuscular,2,12.1,0,,,USD,,1,0.002,24,0.001,0.01,10064,,http://www.who.int/immunization_standards/vaccine_quality/pq_225_pentaliquid_2dose_sii/en/index.html,Serum Institute of India
DTPHepBHib_SerumIndia_Lyo_1Dose,DTP-HepB-Hib SII 1 Dose,DTP-HepB-Hib Lyophilised 1 Dose ,Carton (Containing 200 Vials Of Hib Component And 200 Vials Of Dtpw-Hebb Component),DTP-HepB-Hib,Liquid + Lyophilized,Intramuscular,1,39.2,0,,,USD,,1,0.002,24,0.001,0.01,10065,,http://www.who.int/immunization_standards/vaccine_quality/pq_195_dtp_hepb_hib_1dose_sii/en/index.html,Serum Institute of India
DTP_GSK_1Dose,DTP GSK 1 Dose,Boostrix DTP 1 Dose ,100 Vial Carton,DTP,Liquid,Intramuscular,1,9.7,0,,,USD,,1,0.002,36,0.001,0.01,10066,,http://www.who.int/immunization_standards/vaccine_quality/pq_265_dTaP_1dose_gsk/en/index.html,GSK
Hib_Liquid_WHO_Shipping_Guide_1Dose,Hib WHO 1 Dose,Hib Liquid Generic 1 Dose,1 Vial,Hib,Liquid,Intramuscular,1,15,0,,,USD,,1,0.002,36,0.001,0.01,10067,,,WHO Shipping Guidelines
Hib_Liquid_WHO_Shipping_Guide_10Dose,Hib WHO 10 Dose,Hib Liquid Generic 10 Dose,1 Vial,Hib,Liquid,Intramuscular,10,2.5,0,,,USD,,1,0.002,36,0.001,1,10068,,,WHO Shipping Guidelines
Hib_Lyo_WHO_Shipping_Guide_1Dose,Hib WHO 1 Dose,Hib Lyophilised Generic 1 Dose,1 Vial,Hib,Lyophilized,Intramuscular,1,13,0,,,USD,,1,0.002,36,0.001,0.01,10069,,,WHO Shipping Guidelines
Hib_Lyo_WHO_Shipping_Guide_2Dose,Hib WHO 2 Dose,Hib Lyophilised Generic 2 Dose,1 Vial,Hib,Lyophilized,Intramuscular,2,6,0,,,USD,,1,0.002,36,0.001,0.01,10070,,,WHO Shipping Guidelines
Hib_Lyo_WHO_Shipping_Guide_10Dose,Hib WHO 10 Dose,Hib Lyophilised Generic 10 Dose,1 Vial,Hib,Lyophilized,Intramuscular,10,2.5,0,,,USD,,1,0.002,36,0.001,0.01,10071,,,WHO Shipping Guidelines
Hib_CGEB_1Dose,Hib CGEB 1 Dose,Quimi-Hib 1 Dose ,25 Vial Carton,Hib,Liquid,Intramuscular,1,5,0,,,USD,,1,0.002,36,0.001,0.01,10072,,http://www.who.int/immunization_standards/vaccine_quality/PQ_198_Hib_1_dose_Vial_CIGB/en/index.html,Center for Genetic Eng. And Biotech
Hib_Novartis_1Dose,Hib Novartis 1 Dose,Vaxmem HIB 1 Dose ,10 Vial Carton,Hib,Liquid,Intramuscular,1,13.4,0,,,USD,,1,0.002,36,0.001,0.01,10073,,http://www.who.int/immunization_standards/vaccine_quality/PQ_35_hib_Novartis_1_dose/en/,Novartis
Hib_Sanofi_1Dose,Hib Sanofi 1 Dose,Act-HIB 1 Dose ,10 Vial Carton + 10 Ampoules Of 0.5Ml Diluent In A Separate Box,Hib,Lyophilized + 0.4 % Sodium Chloride Diluent,Intramuscular or Deep Subcutaneous,1,12.66,0,,,USD,,1,0.002,36,0.001,0.01,10074,,http://www.who.int/immunization_standards/vaccine_quality/PQ_110_hib_1_dose_sanofi_pasteur/en/index.html,Sanofi Pasteur
Hib_SerumIndia_1Dose,Hib SII 1 Dose,Hib 1 Dose ,50 Vial Carton + 50 Ampoule Carton Of Diluent,Hib,Lyophilized + 0.4 % Sodium Chloride Diluent,Intramuscular,1,26.11,0,,,USD,,1,0.002,36,0.001,0.01,10075,,http://www.who.int//immunization_standards/vaccine_quality/pq_186_Hib_1_dose_vial_sii/en/index.html,Serum Institute of India
HepA_GSK_1Carton_1Dose,HepA GSK 1 Dose, Havrix™ 720 Junior 1 Dose ,1 Vial Carton,HepA,Liquid,Intramuscular,1,57.7,0,,,USD,,1,0.002,36,0.001,0.01,10076,,http://www.who.int/immunization_standards/vaccine_quality/pq_267_hepa_1dose_gsk/en/index.html,GSK
HepA_GSK_10Carton_1Dose,HepA GSK 1 Dose, Havrix™ 720 Junior 1 Dose ,10 Vial Carton,HepA,Liquid,Intramuscular,1,11.5,0,,,USD,,1,0.002,36,0.001,0.01,10077,,http://www.who.int/immunization_standards/vaccine_quality/pq_267_hepa_1dose_gsk/en/index.html,GSK
HepA_GSK_25Carton_1Dose,HepA GSK 1 Dose, Havrix™ 720 Junior 1 Dose ,25 Vial Carton,HepA,Liquid,Intramuscular,1,11.3,0,,,USD,,1,0.002,36,0.001,0.01,10078,,http://www.who.int/immunization_standards/vaccine_quality/pq_267_hepa_1dose_gsk/en/index.html,GSK
HepA_GSK_100Carton_1Dose,HepA GSK 1 Dose, Havrix™ 720 Junior 1 Dose ,100 Vial Carton,HepA,Liquid,Intramuscular,1,9.6,0,,,USD,,1,0.002,36,0.001,0.01,10079,,http://www.who.int/immunization_standards/vaccine_quality/pq_267_hepa_1dose_gsk/en/index.html,GSK
HepA_Adult_GSK_1Carton_1Dose,HepA GSK 1 Dose, Havrix™ 720 Adult 1 Dose ,1 Vial Carton,HepA,Liquid,Intramuscular,1,57.7,0,,,USD,,1,0.002,36,0.001,0.01,10080,,http://www.who.int/immunization_standards/vaccine_quality/pq_268_hepa_1dose_gsk/en/index.html,GSK
HepA_Adult_GSK_10Carton_1Dose,HepA GSK 1 Dose, Havrix™ 720 Adult 1 Dose ,10 Vial Carton,HepA,Liquid,Intramuscular,1,11.5,0,,,USD,,1,0.002,36,0.001,0.01,10081,,http://www.who.int/immunization_standards/vaccine_quality/pq_268_hepa_1dose_gsk/en/index.html,GSK
HepA_Adult_GSK_25Carton_1Dose,HepA GSK 1 Dose, Havrix™ 720 Adult 1 Dose ,25 Vial Carton,HepA,Liquid,Intramuscular,1,11.3,0,,,USD,,1,0.002,36,0.001,0.01,10082,,http://www.who.int/immunization_standards/vaccine_quality/pq_268_hepa_1dose_gsk/en/index.html,GSK
HepA_Adult_GSK_100Carton_1Dose,HepA GSK 1 Dose, Havrix™ 720 Adult 1 Dose ,100 Vial Carton,HepA,Liquid,Intramuscular,1,9.6,0,,,USD,,1,0.002,36,0.001,0.01,10083,,http://www.who.int/immunization_standards/vaccine_quality/pq_268_hepa_1dose_gsk/en/index.html,GSK
HepB_WHO_Shipping_Guide_1Dose,HepB WHO 1 Dose,HepB WHO Shipping Guildelines 1 Dose,1 Vial,HepB,Liquid,Intramuscular,1,18,0,,,USD,,1,0.002,36,0.001,0.01,10084,,,WHO Shipping Guidelines
HepB_WHO_Shipping_Guide_2Dose,HepB WHO 2 Dose,HepB WHO Shipping Guildelines 2 Dose,1 Vial,HepB,Liquid,Intramuscular,2,13,0,,,USD,,1,0.002,36,0.001,0.01,10085,,,WHO Shipping Guidelines
HepB_WHO_Shipping_Guide_6Dose,HepB WHO 6 Dose,HepB WHO Shipping Guildelines 6 Dose,1 Vial,HepB,Liquid,Intramuscular,6,4.5,0,,,USD,,1,0.002,36,0.001,0.01,10086,,,WHO Shipping Guidelines
HepB_WHO_Shipping_Guide_10Dose,HepB WHO 10 Dose,HepB WHO Shipping Guildelines 10 Dose,1 Vial,HepB,Liquid,Intramuscular,10,4,0,,,USD,,1,0.002,36,0.001,0.01,10087,,,WHO Shipping Guidelines
HepB_WHO_Shipping_Guide_20Dose,HepB WHO 20 Dose,HepB WHO Shipping Guildelines 20 Dose,1 Vial,HepB,Liquid,Intramuscular,20,3,0,,,USD,,1,0.002,36,0.001,0.01,10088,,,WHO Shipping Guidelines
HepB_Crucell_1Dose,HepB Crucell 1 Dose,Hepavax-Gen HebB 1 Dose ,50 Vial Carton,HepB,Liquid,Intramuscular,1,13.3,0,,,USD,,1,0.002,36,0.001,0.01,10089,,http://www.who.int/immunization_standards/vaccine_quality/04_hepb/en/index.html,Berna Biotech Korea: Crucell
HepB_NoThiomersal_Crucell_1Dose,HepB Crucell 1 Dose,Hepavax-Gen HebB Thiomersol Free 1 Dose ,50 Vial Carton,HepB,Liquid,Intramuscular,1,12.86,0,,,USD,,1,0.002,36,0.001,0.01,10090,,http://www.who.int/immunization_standards/vaccine_quality/256_hepb_1dose_berna/en/index.html,Berna Biotech Korea: Crucell
HepB_Crucell_10Dose,HepB Crucell 10 Dose,Hepavax-Gen HebB 1 Dose ,20 Vial Carton,HepB,Liquid,Intramuscular,10,3.66,0,,,USD,,1,0.002,36,0.001,1,10091,,http://www.who.int/immunization_standards/vaccine_quality/06_hepb/en/index.html,Berna Biotech Korea: Crucell
HepB_BioFarma_1Dose_Uniject,HepB BioFarma 1 Dose,HepB 1 Dose Uniject ,100 Unifect Device Carton,HepB,Liquid (Uniject),Intramuscular,1,12,0,,,USD,,1,0.002,24,0.001,0.01,10092,,http://www.who.int/immunization_standards/vaccine_quality/10_hepb/en/index.html,Bio Farma
HepB_CGEB_1Dose,HepB CGEB 1 Dose,Heberbiovac HB HepB 1 Dose ,10 Vial Carton,HepB,Liquid,Intramuscular,1,2.76,0,,,USD,,1,0.002,48,0.001,0.01,10093,,http://www.who.int/immunization_standards/vaccine_quality/24_hepb/en/index.html,Center for Genetic Engineering and Biotechnology
HepB_CGEB_10Dose,HepB CGEB 10 Dose,Heberbiovac HB HepB 10 Dose ,10 Vial Carton,HepB,Liquid,Intramuscular,10,2.76,0,,,USD,,1,0.002,48,0.001,1,10094,,http://www.who.int/immunization_standards/vaccine_quality/25_hepb/en/index.html,Center for Genetic Engineering and Biotechnology
HepB_LG_1Dose,HepB LG 1 Dose,Euvax B HepB 1 Dose ,10 Vial Carton,HepB,Liquid,Intramuscular,1,14.4,0,,,USD,,1,0.002,36,0.001,0.01,10095,,http://www.who.int/immunization_standards/vaccine_quality/69_hepb/en/index.html,LG Life Sciences Ltd.
HepB_LG_2Dose,HepB LG 2 Dose,Euvax B HepB 2 Dose ,10 Vial Carton,HepB,Liquid,Intramuscular,2,7.2,0,,,USD,,1,0.002,36,0.001,1,10096,,http://www.who.int/immunization_standards/vaccine_quality/70_hepb/en/index.html,LG Life Sciences Ltd.
HepB_LG_6Dose,HepB LG 2 Dose,Euvax B HepB 6 Dose ,10 Vial Carton,HepB,Liquid,Intramuscular,2,4.66,0,,,USD,,1,0.002,36,0.001,1,10097,,http://www.who.int/immunization_standards/vaccine_quality/71_hepb/en/index.html,LG Life Sciences Ltd.
HepB_LG_10Carton_10Dose,HepB LG 2 Dose,Euvax B HepB 10 Dose ,10 Vial Carton,HepB,Liquid,Intramuscular,2,3.22,0,,,USD,,1,0.002,36,0.001,1,10098,,http://www.who.int/immunization_standards/vaccine_quality/72_hepb/en/index.html,LG Life Sciences Ltd.
HepB_LG_50Carton_10Dose,HepB LG 2 Dose,Euvax B HepB 10 Dose ,50 Vial Carton,HepB,Liquid,Intramuscular,2,2.8,0,,,USD,,1,0.002,36,0.001,0.01,10099,,http://www.who.int/immunization_standards/vaccine_quality/72_hepb/en/index.html,LG Life Sciences Ltd.
HepB_SerumIndia_Ampuole_1Dose,HepB SII 1 Dose,HepB 1 Dose Vaccine ampoules ,50 Ampoule Carton,HepB,Liquid,Intramuscular,1,15.72,0,,,USD,,1,0.002,36,0.001,0.01,10100,,http://www.who.int/immunization_standards/vaccine_quality/pq_132_hepb_1dose_adult_hepb/en/index.html,Serum Institute of India
HepB_SerumIndia_Vial_1Dose,HepB SII 1 Dose,HepB 1 Dose Vaccine vials ,50 Vial Carton,HepB,Liquid,Intramuscular,1,26.1,0,,,USD,,1,0.002,36,0.001,0.01,10101,,http://www.who.int/immunization_standards/vaccine_quality/pq_132_hepb_1dose_adult_hepb/en/index.html,Serum Institute of India
HepB_SerumIndia_10Dose,HepB SII 1 Dose,HepB 10 Dose Vaccine ,50 Vial Carton,HepB,Liquid,Intramuscular,1,2.61,0,,,USD,,1,0.002,36,0.001,1,10102,,http://www.who.int/immunization_standards/vaccine_quality/pq_133_hepb_10doseped_sii/en/index.html,Serum Institute of India
HepB_Shantha_Pediatric_2Dose,HepB Shantha 2 Dose,Shanvac-B HepB Pediatric 2 Dose ,35 Vial Carton,HepB,Liquid,Intramuscular,2,8.05,0,,,USD,,1,0.002,36,0.001,1,10103,,http://www.who.int/immunization_standards/vaccine_quality/155_hepb/en/index.html,Shantha Biotechnics Private Ltd.
HepB_Shantha_Adult_1Dose,HepB Shantha 2 Dose,Shanvac-B HepB Adult 1 Dose ,35 Vial Carton,HepB,Liquid,Intramuscular,2,16.05,0,,,USD,,1,0.002,36,0.001,0.01,10104,,http://www.who.int/immunization_standards/vaccine_quality/155_hepb/en/index.html,Shantha Biotechnics Private Ltd.
HepB_Shantha_10Dose,HepB Shantha 1 Dose,Shanvac-B HepB 10 Dose ,30 Vial Carton,HepB,Liquid,Intramuscular,1,4.36,0,,,USD,,1,0.002,36,0.001,0.01,10105,,http://www.who.int/immunization_standards/vaccine_quality/157_hepb/en/index.html,Shantha Biotechnics Private Ltd.
HepB_Shantha_Pediatric_1Dose,HepB Shantha 1 Dose,Shanvac-B HepB Pediatric 1 Dose ,35 Vial Carton,HepB,Liquid,Intramuscular,1,16.8,0,,,USD,,1,0.002,36,0.001,0.01,10106,,http://www.who.int/immunization_standards/vaccine_quality/PQ_vaccine_list_en/en/index.html,Shantha Biotechnics Private Ltd.
HepB_Shantha_6Dose,HepB Shantha 6 Dose,Shanvac-B HepB 6 Dose ,35 Vial Carton,HepB,Liquid,Intramuscular,6,3.69,0,,,USD,,1,0.002,36,0.001,1,10107,,http://www.who.int/immunization_standards/vaccine_quality/156_hepb/en/index.html,Shantha Biotechnics Private Ltd.
HepB_Shantha_20Dose,HepB Shantha 20 Dose,Shanvac-B HepB 20 Dose ,30 Vial Carton,HepB,Liquid,Intramuscular,20,2.57,0,,,USD,,1,0.002,36,0.001,1,10108,,http://www.who.int/immunization_standards/vaccine_quality/158_hepb/en/index.html,Shantha Biotechnics Private Ltd.
HPV_GSK_1Carton_2Dose,HPV GSK 2 Dose,Cervarix HPV  2 Dose ,1 Vial Carton,HPV,Liquid,Intramuscular,2,28.8,0,,,USD,,1,0.002,36,0.001,0.01,10109,,http://www.who.int/immunization_standards/vaccine_quality/PQ_181_HPV_GSK_2_dose/en/index.html,GSK
HPV_GSK_10Carton_2Dose,HPV GSK 2 Dose,Cervarix HPV  2 Dose ,10 Vial Carton,HPV,Liquid,Intramuscular,2,5.7,0,,,USD,,1,0.002,36,0.001,0.01,10110,,http://www.who.int/immunization_standards/vaccine_quality/PQ_181_HPV_GSK_2_dose/en/index.html,GSK
HPV_GSK_100Carton_2Dose,HPV GSK 2 Dose,Cervarix HPV  2 Dose ,100 Vial Carton,HPV,Liquid,Intramuscular,2,4.8,0,,,USD,,1,0.002,36,0.001,0.01,10111,,http://www.who.int/immunization_standards/vaccine_quality/PQ_181_HPV_GSK_2_dose/en/index.html,GSK
HPV_GSK_1Carton_1Dose,HPV GSK 1 Dose,Cervarix HPV 1 Dose ,1 Vial Carton,HPV,Liquid,Intramuscular,1,57.7,0,,,USD,,1,0.002,36,0.001,0.01,10112,,http://www.who.int/immunization_standards/vaccine_quality/PQ_180_HPV_GSK_1_dose/en/index.html,GSK
HPV_GSK_10Carton_1Dose,HPV GSK 1 Dose,Cervarix HPV 1 Dose ,10 Vial Carton,HPV,Liquid,Intramuscular,1,11.5,0,,,USD,,1,0.002,36,0.001,0.01,10113,,http://www.who.int/immunization_standards/vaccine_quality/PQ_180_HPV_GSK_1_dose/en/index.html,GSK
HPV_GSK_100Carton_1Dose,HPV GSK 1 Dose,Cervarix HPV 1 Dose ,100 Vial Carton,HPV,Liquid,Intramuscular,1,9.7,0,,,USD,,1,0.002,36,0.001,0.01,10114,,http://www.who.int/immunization_standards/vaccine_quality/PQ_180_HPV_GSK_1_dose/en/index.html,GSK
HPV_Merck_1Carton_1Dose,HPV Merck 1 Dose,Gardasil HPV 1 Dose ,1 Vial Carton,HPV,Liquid,Intramuscular,1,75,0,,,USD,,1,0.002,36,0.001,0.01,10115,,http://www.who.int/immunization_standards/vaccine_quality/PQ_179_HPV_Merck/en/index.html,Merck
HPV_Merck_10Carton_1Dose,HPV Merck 1 Dose,Gardasil HPV 1 Dose ,10 Vial Carton,HPV,Liquid,Intramuscular,1,15,0,,,USD,,1,0.002,36,0.001,0.01,10116,,http://www.who.int/immunization_standards/vaccine_quality/PQ_179_HPV_Merck/en/index.html,Merck
SeasFlu_GSK_10Dose,inf GSK 10 Dose,FluLaval Seasonal Influenza 10 Dose ,10 Vials Banded,inf,Liquid,Intramuscular,10,7.4,0,,,USD,,1,0.002,36,0.001,1,10117,,http://www.who.int/immunization_standards/vaccine_quality/PQ_193_flu_seasonal_gsk_can/en/index.html,GSK
SeasFlu_GreenCross_1Dose,inf GreenCross 1 Dose,GC FLU Multi Inj Seasonal Influenza 1 Dose ,1 Vial Carton,inf,Liquid,Intramuscular,1,34.4,0,,,USD,,1,0.002,12,0.001,0.01,10118,,http://www.who.int/immunization_standards/vaccine_quality/234_influenza_seasonal_singledose_greencross/en/index.html,Green Cross Corporation
SeasFlu_GreenCross_10Dose,inf GreenCross 10 Dose,GC FLU Multi Inj Seasonal Influenza 10 Dose ,10 Vial Carton,inf,Liquid,Intramuscular,10,3.76,0,,,USD,,1,0.002,12,0.001,1,10119,,http://www.who.int/immunization_standards/vaccine_quality/pq_259_influenza_seasonal_10dose_gc/en/index.html,Green Cross Corporation
SeasFlu_Novartis_10Dose,inf Novartis 10 Dose,Fluvirin Seasonal Influenza 10 Dose ,1 Vial Carton,inf,Liquid,Intramuscular,10,9,0,,,USD,,1,0.002,12,0.001,1,10120,,http://www.who.int/immunization_standards/vaccine_quality/PQ_200_flu_seasonal_novartis/en/index.html,Novartis
SeasFlu_Sanofi_10Dose,inf Sanofi 10 Dose,Vaxigrip Seasonal Influenza 10 Dose ,10 Vial Carton,inf,Liquid,Intramuscular,10,2.38,0,,,USD,,1,0.002,12,0.001,0.01,10121,,http://www.who.int/immunization_standards/vaccine_quality/pq_239_influenza_seasonal_10dose_sanofi_pasteur/en/index.html,Sanofi Pasteur
SeasFlu_Inactive_Sanofi_1Dose,inf Sanofi 1 Dose,Fluzone Seasonal Influenza Inactivated 1 Dose ,10 Vial Carton,inf,Liquid,Intramuscular,1,18.3,0,,,USD,,1,0.002,18,0.001,0.01,10122,,http://www.who.int/immunization_standards/vaccine_quality/PQ_202_seasonal_flu_Sanofi_USA/en/index.html,Sanofi Pasteur
SeasFlu_Inactive_Sanofi_10Dose,inf Sanofi 1 Dose,Fluzone Seasonal Influenza Inactivated 10 Dose ,10 Vial Carton,inf,Liquid,Intramuscular,1,5.8,0,,,USD,,1,0.002,18,0.001,1,10123,,http://www.who.int/immunization_standards/vaccine_quality/PQ_203_influenza_seasonal_10_dose_Sanofi_pasteur/en/,Sanofi Pasteur
InfluenzaA_CSL_10Dose,H1N1 CSL 10 Dose,Panvax Influenza A 10 Dose ,10 Vial Carton,H1N1,Liquid,Intramuscular,10,3,0,,,USD,,1,0.002,18,0.001,0.01,10124,,http://www.who.int/immunization_standards/vaccine_quality/PQ_206_h1n1_csl/en/index.html,CSL Limited
InfluenzaA_GSK_10Dose,H1N1 GSK 10 Dose,Pandemirix Influenza A 10 Dose ,50 Vial Carton Of Antigen + 2 25 Vial Carton Of Adjuvant,H1N1,Liquid,Intramuscular,10,10,0,,,USD,,1,0.002,24,0.001,0.01,10125,,http://www.who.int/immunization_standards/vaccine_quality/PQ_208_Pan_flu_h1n1_gsk/en/index.html,GSK
InfluenzaA_GreenCross_1Dose,H1N1 GreenCross 1 Dose,Green Flu-S Influenza A 1 Dose ,1 Vial Carton,H1N1,Liquid,Intramuscular,1,35,0,,,USD,,1,0.002,12,0.001,0.01,10126,,http://www.who.int/immunization_standards/vaccine_quality//PQ_209_h1n1_green_cross/en/index.html,Green Cross
InfluenzaA_MedImmune_1Dose,H1N1 MedImmune 1 Dose,Influenza A Spray 1 Dose ,10 Applicator Carton,H1N1,Liquid,Intramuscular,1,87,0,,,USD,,1,0.002,18,0.001,0.01,10127,,http://www.who.int/immunization_standards/vaccine_quality/PQ_210_H1N1_medimmune/en/index.html,MedImmune
InfluenzaA_Novartis_17Dose,H1N1 Novartis 17 Dose,Celtura Influenza A 17 Dose ,10 Vial Carton,H1N1,Liquid,Intramuscular,17,1.8,0,,,USD,,1,0.002,6,0.001,0.01,10128,,http://www.who.int/immunization_standards/vaccine_quality/PQ_211_h1N1_Novartis_ger/en/index.html,Novartis
InfluenzaA_Focetria_Novartis_10Dose,H1N1 Novartis 10 Dose,Focetria Influenza A 10 Dose ,10 Vial Carton,H1N1,Liquid,Intramuscular,10,3,0,,,USD,,1,0.002,12,0.001,0.01,10129,,http://www.who.int/immunization_standards/vaccine_quality/PQ_212_H1N1_novartis_italy/en/index.html,Novartis
InfluenzaA_Fluvirin_Novartis_10Dose,H1N1 Novartis 10 Dose,Fluvirin-H1N1 Influenza A 10 Dose ,1 Vial Carton,H1N1,Liquid,Intramuscular,10,9,0,,,USD,,1,0.002,6,0.001,0.01,10130,,http://www.who.int/immunization_standards/vaccine_quality/PQ_213_H1N1_Novartis_UK/en/index.html,Novartis
